TransactionID,Date,CustomerID,ProductID,StoreID,Quantity,Discount,Revenue,Cost,Profit
T00001,2024-06-18,C160,P014,S003,1,0.1,1208.4750000000001,797.94,410.5350000000001
T00002,2023-11-02,C171,P030,S004,3,0.15,74.562,45.839999999999996,28.722
T00003,2024-03-28,C142,P002,S002,2,0.15,1391.892,1055.24,336.65200000000004
T00004,2024-06-15,C174,P050,S002,5,0.1,4700.880000000001,3875.3500000000004,825.5300000000007
T00005,2024-08-29,C141,P036,S001,3,0.1,4053.942,3503.19,550.752
T00006,2025-03-28,C111,P036,S005,5,0.1,6756.570000000001,5838.65,917.920000000001
T00007,2024-11-09,C114,P009,S004,2,0.15,209.423,160.72,48.703
T00008,2024-05-28,C169,P005,S001,3,0.1,3769.794,3012.27,757.5239999999999
T00009,2024-09-04,C193,P035,S002,3,0.05,4452.925499999999,3586.8900000000003,866.035499999999
T00010,2024-06-16,C038,P045,S001,1,0.05,1785.1259999999997,1004.56,780.5659999999998
T00011,2025-03-09,C157,P022,S001,4,0.15,86.938,76.2,10.738
T00012,2024-06-06,C184,P042,S004,4,0.15,1542.308,1266.52,275.788
T00013,2023-10-02,C038,P048,S001,1,0.15,1033.906,794.8,239.106
T00014,2024-10-28,C046,P034,S005,4,0.0,1712.2,984.28,727.9200000000001
T00015,2025-03-23,C032,P016,S004,2,0.15,3159.875,2902.32,257.55499999999984
T00016,2023-12-14,C194,P024,S004,5,0.15,6321.4925,4065.3500000000004,2256.1425
T00017,2024-12-24,C041,P026,S004,4,0.1,3656.736,2337.6,1319.136
T00018,2025-05-30,C164,P033,S003,5,0.15,7645.6225,6645.75,999.8725000000004
T00019,2025-04-21,C071,P011,S004,1,0.1,223.713,190.67,33.043000000000006
T00020,2025-01-07,C070,P007,S003,3,0.0,4422.36,2292.06,2130.2999999999997
T00021,2024-11-16,C039,P018,S002,4,0.05,4103.582,2815.32,1288.2620000000002
T00022,2024-11-26,C017,P022,S004,4,0.1,92.052,76.2,15.852000000000004
T00023,2024-08-02,C107,P023,S001,2,0.15,3193.399,2029.82,1163.579
T00024,2025-03-30,C198,P013,S005,1,0.15,964.5799999999999,675.1,289.4799999999999
T00025,2024-06-02,C002,P039,S003,3,0.15,1379.3970000000002,1194.75,184.64700000000016
T00026,2024-10-26,C138,P021,S005,5,0.05,5829.389999999999,4885.45,943.9399999999996
T00027,2024-01-23,C057,P039,S003,4,0.15,1839.1960000000001,1593.0,246.19600000000014
T00028,2024-12-15,C100,P020,S003,4,0.05,1230.896,971.92,258.976
T00029,2025-04-09,C033,P013,S005,5,0.0,5674.0,3375.5,2298.5
T00030,2025-02-26,C152,P028,S005,1,0.0,673.78,363.33,310.45
T00031,2024-12-16,C035,P019,S004,2,0.0,3525.84,2692.96,832.8800000000001
T00032,2025-01-16,C098,P028,S003,2,0.15,1145.426,726.66,418.76599999999996
T00033,2025-07-20,C087,P021,S004,3,0.15,3129.462,2931.27,198.192
T00034,2023-11-13,C021,P037,S004,1,0.0,1952.65,1451.27,501.3800000000001
T00035,2024-02-16,C058,P047,S001,1,0.0,1197.18,722.74,474.44000000000005
T00036,2025-06-03,C052,P049,S001,5,0.05,1844.235,996.5,847.7349999999999
T00037,2024-01-17,C033,P030,S004,1,0.05,27.778,15.28,12.498
T00038,2025-05-06,C180,P041,S003,3,0.05,4659.778499999999,3129.87,1529.9084999999995
T00039,2024-10-13,C200,P001,S002,3,0.0,5021.07,3970.1400000000003,1050.9299999999994
T00040,2024-08-02,C080,P011,S005,4,0.15,845.1379999999999,762.68,82.45799999999997
T00041,2023-12-20,C020,P044,S005,2,0.0,2573.1,1595.08,978.02
T00042,2024-06-03,C176,P025,S005,1,0.0,429.15,258.72,170.42999999999995
T00043,2024-10-30,C137,P011,S004,3,0.0,745.71,572.01,173.70000000000005
T00044,2024-12-31,C004,P033,S004,4,0.0,7195.88,5316.6,1879.2799999999997
T00045,2024-09-30,C093,P045,S004,2,0.15,3194.4359999999997,2009.12,1185.3159999999998
T00046,2023-11-27,C188,P027,S005,3,0.15,3244.1865,2857.95,386.2365
T00047,2025-05-06,C112,P045,S005,3,0.1,5073.516,3013.68,2059.836
T00048,2025-01-25,C023,P011,S003,4,0.05,944.5659999999999,762.68,181.88599999999997
T00049,2025-08-09,C146,P013,S005,4,0.1,4085.2799999999997,2700.4,1384.8799999999997
T00050,2025-08-14,C127,P007,S003,2,0.15,2506.004,1528.04,977.9639999999999
T00051,2024-09-25,C091,P026,S003,3,0.1,2742.5519999999997,1753.1999999999998,989.3519999999999
T00052,2025-05-09,C143,P022,S001,5,0.05,121.4575,95.25,26.207499999999996
T00053,2024-09-30,C062,P047,S004,4,0.05,4549.284,2890.96,1658.3239999999996
T00054,2024-01-29,C166,P001,S004,4,0.0,6694.76,5293.52,1401.2399999999998
T00055,2024-06-27,C076,P009,S002,4,0.05,468.12199999999996,321.44,146.68199999999996
T00056,2025-08-19,C170,P028,S005,3,0.15,1718.139,1089.99,628.1489999999999
T00057,2024-10-11,C109,P011,S005,3,0.1,671.139,572.01,99.12900000000002
T00058,2024-01-20,C070,P034,S003,3,0.05,1219.9425,738.21,481.7325000000001
T00059,2025-02-14,C185,P027,S002,3,0.0,3816.69,2857.95,958.7400000000002
T00060,2024-11-26,C050,P044,S002,4,0.1,4631.58,3190.16,1441.42
T00061,2025-03-20,C026,P006,S002,3,0.05,906.4425,562.02,344.4225
T00062,2025-05-03,C046,P027,S003,1,0.05,1208.6185,952.65,255.96850000000006
T00063,2024-06-01,C012,P036,S001,5,0.1,6756.570000000001,5838.65,917.920000000001
T00064,2024-11-15,C164,P048,S004,1,0.0,1216.36,794.8,421.55999999999995
T00065,2024-05-26,C121,P028,S004,4,0.1,2425.608,1453.32,972.2880000000002
T00066,2024-04-20,C014,P010,S003,4,0.0,4776.48,3355.8,1420.6799999999994
T00067,2025-02-16,C103,P042,S004,1,0.0,453.62,316.63,136.99
T00068,2024-03-15,C039,P002,S005,3,0.0,2456.2799999999997,1582.8600000000001,873.4199999999996
T00069,2023-11-14,C031,P040,S005,4,0.05,6633.317999999999,5289.76,1343.557999999999
T00070,2024-12-02,C116,P013,S004,3,0.15,2893.74,2025.3000000000002,868.4399999999996
T00071,2023-11-18,C146,P044,S005,1,0.0,1286.55,797.54,489.01
T00072,2025-01-05,C161,P012,S002,3,0.0,3579.2699999999995,2454.7200000000003,1124.5499999999993
T00073,2024-10-08,C062,P022,S002,5,0.0,127.85,95.25,32.599999999999994
T00074,2024-07-01,C001,P014,S004,4,0.15,4565.349999999999,3191.76,1373.5899999999992
T00075,2024-04-24,C009,P018,S002,3,0.1,2915.703,2111.4900000000002,804.2129999999997
